Full Complaint ID,Complaint Year Number,Month Number,Record Create Date,Complaint Precinct Code,Patrol Borough Name,County,Law Code Category Description,Offense Description,PD Code Description,Bias Motive Description,Offense Category,Arrest Date,Arrest Id,Boroughs,Month Year,Year Month
201908412100817,2019,1,2019-01-14,84,PATROL BORO BKLYN NORTH,KINGS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-TRANSGENDER,Gender,2019-01-14,K31674720,BROOKLYN,1-2019,2019-01
201911212191317,2019,4,2019-04-07,112,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-TRANSGENDER,Gender,2019-04-07,Q31685303,QUEENS,4-2019,2019-04
201907112340217,2019,5,2019-05-17,71,PATROL BORO BKLYN SOUTH,KINGS,FELONY,DANGEROUS WEAPONS,WEAPONS POSSESSION 3,ANTI-TRANSGENDER,Gender,2019-05-17,K31697975,BROOKLYN,5-2019,2019-05
201909012373617,2019,5,2019-05-14,90,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-TRANSGENDER,Gender,,,BROOKLYN,5-2019,2019-05
201908112373817,2019,6,2019-06-22,81,PATROL BORO BKLYN NORTH,KINGS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-TRANSGENDER,Gender,2019-07-24,K31709845,BROOKLYN,6-2019,2019-06
201911012501517,2019,6,2019-06-29,110,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-TRANSGENDER,Gender,2019-06-29,Q31696472,QUEENS,6-2019,2019-06
201911012501917,2019,6,2019-06-29,110,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-TRANSGENDER,Gender,2019-07-23,Q31699814,QUEENS,6-2019,2019-06
201911012502017,2019,6,2019-06-29,110,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-TRANSGENDER,Gender,2019-07-23,Q31699816,QUEENS,6-2019,2019-06
201900512417817,2019,7,2019-07-22,5,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-TRANSGENDER,Gender,,,MANHATTAN,7-2019,2019-07
201904712851617,2019,8,2019-08-05,47,PATROL BORO BRONX,BRONX,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-TRANSGENDER,Gender,2019-08-05,B31704341,BRONX,8-2019,2019-08
201907912656117,2019,8,2019-08-20,79,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-TRANSGENDER,Gender,,,BROOKLYN,8-2019,2019-08
201910112540217,2019,10,2019-10-15,101,PATROL BORO QUEENS SOUTH,QUEENS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-TRANSGENDER,Gender,2019-10-15,Q31710151,QUEENS,10-2019,2019-10
201904413430517,2019,11,2019-11-12,44,PATROL BORO BRONX,BRONX,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-TRANSGENDER,Gender,,,BRONX,11-2019,2019-11
202011112104117,2020,2,2020-02-04,111,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-TRANSGENDER,Gender,2020-02-10,Q32676547,QUEENS,2-2020,2020-02
202000712189317,2020,3,2020-03-25,7,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-TRANSGENDER,Gender,,,MANHATTAN,3-2020,2020-03
202006712443317,2020,5,2020-05-12,67,PATROL BORO BKLYN SOUTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-GENDER NON-CONFORMING,Gender,2020-05-12,K32688936,BROOKLYN,5-2020,2020-05
202007512676517,2020,5,2020-05-07,75,PATROL BORO BKLYN NORTH,KINGS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-TRANSGENDER,Gender,2020-05-12,K32688942,BROOKLYN,5-2020,2020-05
202002012233017,2020,6,2020-06-06,20,PATROL BORO MAN NORTH,NEW YORK,FELONY,ROBBERY,"ROBBERY,POCKETBOOK/CARRIED BAG",ANTI-GENDER NON-CONFORMING,Gender,,,MANHATTAN,6-2020,2020-06
202003012319017,2020,7,2020-07-09,30,PATROL BORO MAN NORTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-TRANSGENDER,Gender,,,MANHATTAN,7-2020,2020-07
202009012483217,2020,8,2020-08-06,90,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-FEMALE,Gender,2021-01-05,K33672672,BROOKLYN,8-2020,2020-08
202009012706417,2020,11,2020-11-17,90,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-FEMALE,Gender,2020-12-30,K32713232,BROOKLYN,11-2020,2020-11
202009012706417,2020,11,2020-11-17,90,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-FEMALE,Gender,2021-01-05,K33672673,BROOKLYN,11-2020,2020-11
202009012729317,2020,11,2020-11-29,90,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-FEMALE,Gender,2021-01-05,K33672675,BROOKLYN,11-2020,2020-11
202009012753017,2020,12,2020-12-12,90,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-FEMALE,Gender,2020-12-30,K32713233,BROOKLYN,12-2020,2020-12
202009012778417,2020,12,2020-12-27,90,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-FEMALE,Gender,2020-12-30,K32713235,BROOKLYN,12-2020,2020-12
202009012783317,2020,12,2020-12-28,90,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-FEMALE,Gender,2020-12-30,K32713237,BROOKLYN,12-2020,2020-12
202009012753017,2020,12,2020-12-12,90,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-FEMALE,Gender,2021-01-05,K33672676,BROOKLYN,12-2020,2020-12
202009012778417,2020,12,2020-12-27,90,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-FEMALE,Gender,2021-01-05,K33672679,BROOKLYN,12-2020,2020-12
202009012783317,2020,12,2020-12-28,90,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-FEMALE,Gender,2021-01-05,K33672681,BROOKLYN,12-2020,2020-12
202009012783317,2020,12,2020-12-28,90,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-FEMALE,Gender,,,BROOKLYN,12-2020,2020-12
202108312080517,2021,1,2021-01-04,83,PATROL BORO BKLYN NORTH,KINGS,FELONY,ROBBERY,"ROBBERY,COMMERCIAL UNCLASSIFIED",ANTI-FEMALE,Gender,2021-01-05,K33672671,BROOKLYN,1-2021,2021-01
202109012074417,2021,1,2021-01-02,90,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-FEMALE,Gender,2021-01-05,K33672682,BROOKLYN,1-2021,2021-01
202109012075117,2021,1,2021-01-03,90,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-FEMALE,Gender,2021-01-05,K33672683,BROOKLYN,1-2021,2021-01
202104812112617,2021,1,2021-01-17,48,PATROL BORO BRONX,BRONX,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-TRANSGENDER,Gender,,,BRONX,1-2021,2021-01
202101312139017,2021,2,2021-02-07,13,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-TRANSGENDER,Gender,2021-02-07,M33676050,MANHATTAN,2-2021,2021-02
